date,event_count,goldstein_weighted_sum,avg_goldstein,avg_tone,article_count,corridor
2024-01-18,337,-3276.2,-9.72166172106825,-3.9625617831031166,5156,red_sea
2024-01-19,281,-2711.9,-9.650889679715306,-3.779828216854313,3876,red_sea
2024-01-20,115,-1085.4,-9.438260869565216,-4.593568041926606,2616,red_sea
2024-01-21,100,-977.7,-9.777000000000003,-3.2292859769182156,1766,red_sea
2024-01-22,124,-1192.1999999999998,-9.614516129032257,-3.2217234228682363,3691,red_sea
2024-01-23,239,-2274.3999999999996,-9.516317991631798,-3.7463890066380543,4319,red_sea
2024-01-24,191,-1825.3,-9.556544502617802,-3.2020158239827206,3057,red_sea
2024-01-25,183,-1771.2,-9.678688524590164,-2.9725455329166746,2143,red_sea
2024-01-26,151,-1420.8,-9.40927152317881,-3.4823853314152093,2767,red_sea
2024-01-27,174,-1677.7,-9.641954022988509,-3.5098712686967164,2470,red_sea
2024-01-28,125,-1184.5,-9.476000000000003,-4.217439445229949,1877,red_sea
2024-01-29,126,-1226.4,-9.733333333333334,-4.336099075985889,3168,red_sea
2024-01-30,132,-1283.9,-9.726515151515153,-3.649699205596564,2710,red_sea
2024-01-31,261,-2528.9000000000005,-9.689272030651342,-3.0871651170662777,3346,red_sea
2024-02-01,226,-2200.9,-9.73849557522124,-3.5067744228104525,3402,red_sea
2024-02-02,145,-1379.4,-9.513103448275862,-3.298516547291489,2318,red_sea
2024-02-03,142,-1386.4,-9.763380281690141,-4.33582750222584,2589,red_sea
2024-02-04,228,-2186.1000000000004,-9.588157894736838,-4.26782405589929,3699,red_sea
2024-02-05,117,-1112.6,-9.50940170940171,-3.3555337529258575,3483,red_sea
2024-02-06,185,-1778.1000000000001,-9.611351351351354,-3.594805280278285,2741,red_sea
2024-02-07,138,-1349.0,-9.775362318840578,-3.2805935962294583,2019,red_sea
2024-02-08,102,-942.4000000000004,-9.239215686274509,-2.5046792927862134,1989,red_sea
2024-02-09,68,-661.2,-9.723529411764703,-2.3694227293923635,1629,red_sea
2024-02-10,35,-331.2,-9.46285714285714,-2.261579234875091,945,red_sea
2024-02-11,40,-382.4,-9.560000000000002,-2.7014674753199293,859,red_sea
2024-02-12,106,-1028.7,-9.704716981132073,-2.7511549778059843,1699,red_sea
2024-02-13,61,-582.9,-9.555737704918032,-2.4359025072092555,1204,red_sea
2024-02-14,62,-590.0,-9.516129032258064,-2.430957343856413,1111,red_sea
2024-02-15,91,-887.0999999999999,-9.74835164835165,-2.5331831719931057,1570,red_sea
2024-02-16,82,-806.5,-9.835365853658535,-2.3949580590839554,1087,red_sea
2024-02-17,85,-832.4,-9.792941176470588,-2.323774541138003,1023,red_sea
2024-02-18,66,-636.0999999999999,-9.637878787878787,-2.889483492262471,750,red_sea
2024-02-19,164,-1578.0,-9.621951219512194,-3.0366578166192255,2347,red_sea
2024-02-20,132,-1268.6000000000001,-9.61060606060606,-2.5245948452886675,1981,red_sea
2024-02-21,118,-1160.0,-9.83050847457627,-2.7191972244097316,1762,red_sea
2024-02-22,150,-1357.8000000000002,-9.052000000000001,-3.0012837802765002,1970,red_sea
2024-02-23,132,-1138.4,-8.624242424242425,-2.712706944980289,1462,red_sea
2024-02-24,107,-1057.5,-9.883177570093457,-3.7632916020146405,1044,red_sea
2024-02-25,126,-1222.4,-9.7015873015873,-3.4646390848118074,1519,red_sea
2024-02-26,118,-1141.5,-9.67372881355932,-2.613071837130992,1400,red_sea
2024-02-27,85,-808.1999999999999,-9.508235294117647,-2.189840720961878,1664,red_sea
2024-02-28,208,-2017.1999999999998,-9.698076923076918,-2.555300391640172,1780,red_sea
2024-02-29,92,-883.2999999999998,-9.60108695652174,-2.0642192906484387,1145,red_sea
2024-03-01,59,-561.7,-9.520338983050845,-2.32855268208685,922,red_sea
2024-03-02,70,-682.2,-9.745714285714287,-3.8280643291389342,1315,red_sea
2024-03-03,88,-832.6,-9.461363636363638,-3.996042808535272,1154,red_sea
2024-03-04,78,-755.0,-9.679487179487177,-3.082450503753117,1328,red_sea
2024-03-05,105,-1019.7,-9.711428571428572,-3.585882098460767,1555,red_sea
